icon;domain;measure;spatial_scope;temporal_scope;entity_group;entity_key;var_name;ka;label_de;unit;comment;Formel
;comfort;temperature;uncooled;winter;;;Tu_avg_winter;3;Mitteltemperatur ungekühlt;°C;;"MITTELWERT(MITTELWERTWENNS(sim[Ti_final_uncooled];month;winter_months))"
;comfort;temperature;cooled;winter;;;Tc_avg_winter;3;Mitteltemperatur gekühlt;°C;;"MITTELWERT(MITTELWERTWENNS(sim[Ti_final_cooled];month;winter_months))"
;comfort;temperature;uncooled;summer;;;Tu_avg_summer;3;Mitteltemperatur ungekühlt;°C;;"MITTELWERT(MITTELWERTWENNS(sim[Ti_final_uncooled];month;summer_months))"
;comfort;temperature;cooled;summer;;;Tc_avg_summer;3;Mitteltemperatur gekühlt;°C;;"MITTELWERT(MITTELWERTWENNS(sim[Ti_final_cooled];month;summer_months))"
;comfort;temperature_difference;uncooled;winter;;;dTu_winter;3;Mittlere Temperaturüberschreitung ungekühlt;K;;"MITTELWERT(MITTELWERTWENNS(sim[Ti_final_uncooled];month;winter_months))-Tsetheat_min"
;comfort;temperature_difference;cooled;winter;;;dTc_winter;3;Mittlere Temperaturüberschreitung gekühlt;K;;"MITTELWERT(MITTELWERTWENNS(sim[Ti_final_cooled];month;winter_months))-Tsetheat_min"
;comfort;temperature_difference;uncooled;summer;;;dTu_summer;3;Mittlere Temperaturunterschreitung ungekühlt;°C;;"Tsetcool_max - MITTELWERT(MITTELWERTWENNS(sim[Ti_final_uncooled];month;summer_months))"
;comfort;temperature_difference;cooled;summer;;;dTc_summer;3;Mittlere Temperaturunterschreitung gekühlt;°C;;"Tsetcool_max- MITTELWERT(MITTELWERTWENNS(sim[Ti_final_cooled];month;summer_months))"
;electricity_end_use;user_electricity;district;annual;;;EUI_plugAuxLight;3;Nutzerstrom, Beleuchtung und Allgemeinstrom;kWh/m²NGFa;;PV_to_plugloads+Batt_to_plugloads+VRGrid_to_plugloads+Grid_to_plugloads+Eev_to_plugloads
;electricity_end_use;plugloads;district;annual;;;EUI_plugloads;3;Nutzerstrom;kWh/m²NGFa;;SUMME(sim[E_plugAuxLight])/1000-EUI_auxiliary-EUI_lighting
;electricity_end_use;aux_el_demand;district;annual;;;EUI_auxiliary;3;Allgemeinstrom;kWh/m²NGFa;;SUMME(sim[Eaux])/1000
;electricity_end_use;lighting;district;annual;;;EUI_lighting;3;Beleuchtung;kWh/m²NGFa;;SUMME(sim[Elight])/1000
;electricity_end_use;heating_demand;district;annual;;;EUIh_el;3;Heizen;kWh/m²NGFa;;PV_to_Eh_min+PV_to_Eh_flex+Batt_to_Eh_min+VRGrid_to_Eh_min+VRGrid_to_Eh_flex+Eev_to_Eh_min+Grid_to_Eh_min
;electricity_end_use;heating_aux;district;annual;;;EUIh_el_aux;3;Heizen Hilfsstrom;kWh/m²NGFa;;SUMME(sim[Eh_aux])/1000
;electricity_end_use;cooling_demand;district;annual;;;EUIc_el;3;Kühlen;kWh/m²NGFa;;PV_to_Ec_min+PV_to_Ec_flex+Batt_to_Ec_min+VRGrid_to_Ec_min+VRGrid_to_Ec_flex+Eev_to_Ec_min+Grid_to_Ec_min
;electricity_end_use;cooling_aux;district;;;;EUIc_el_aux;3;Heizen Hilfsstrom;kWh/m²NGFa;;SUMME(sim[Ec_aux])/1000
;electricity_end_use;dhw_demand;;;;;EUIdhw_el;3;Warmwasser;kWh/m²NGFa;;PV_to_Edhw_min+PV_to_Edhw+Batt_to_Edhw_min+VRGrid_to_Edhw_min+VRGrid_to_Edhw_flex+Eev_to_Edhw_min+Grid_to_Edhw_min
;electricity_end_use;vent_el_demand;;;;;EUIv_el;3;Lüftung;kWh/m²NGFa;;PV_to_Ev_min+Batt_to_Ev_min+VRGrid_to_Ev_min+Eev_to_Ev_min+Grid_to_Ev_min
;electricity_end_use;dhw_demand;;;;;EUIdhwdirect_el;3;"WW
E-Stab";kWh/m²NGFa;;PV_to_Edhw_direct
;electricity_end_use;battery_charge;;;;;Batt_total_charge_input;3;e-Speicher Beladung;kWh/m²NGFa;;PV_to_Batt+VRGrid_to_Batt
;electricity_end_use;ev_local_charge;;;;;EUIev_el;3;EV Quartiersladung;kWh/m²NGFa;;PV_to_Eev_min+PV_to_Eev_flex+Batt_to_Eev_min+VRGrid_to_Eev_min+VRGrid_to_Eev_flex+Grid_to_Eev_min
