icon;domain;measure;spatial_scope;temporal_scope;entity_group;entity_key;var_name;ka;label_de;unit
;comfort;temperature_difference;uncooled;winter;;;dTu_winter;3;Mittlere Temperaturüberschreitung ungekühlt;K
;comfort;temperature_difference;cooled;winter;;;dTc_winter;3;Mittlere Temperaturüberschreitung gekühlt;K
;comfort;temperature_difference;uncooled;summer;;;dTu_summer;3;Mittlere Temperaturunterschreitung ungekühlt;°C
;comfort;temperature_difference;cooled;summer;;;dTc_summer;3;Mittlere Temperaturunterschreitung gekühlt;°C
;electricity_end_use;user_electricity;district;annual;;;EUI_plugAuxLight;3;Nutzerstrom, Beleuchtung und Allgemeinstrom;kWh/m²NGFa
;electricity_end_use;plugloads;district;annual;;;EUI_plugloads;3;Nutzerstrom;kWh/m²NGFa
;electricity_end_use;aux_el_demand;district;annual;;;EUI_auxiliary;3;Allgemeinstrom;kWh/m²NGFa
;electricity_end_use;lighting;district;annual;;;EUI_lighting;3;Beleuchtung;kWh/m²NGFa
;electricity_end_use;heating_demand;district;annual;;;EUIh_el;3;Heizen;kWh/m²NGFa
;electricity_end_use;heating_aux;district;annual;;;EUIh_el_aux;3;Heizen Hilfsstrom;kWh/m²NGFa
;electricity_end_use;cooling_demand;district;annual;;;EUIc_el;3;Kühlen;kWh/m²NGFa
;electricity_end_use;cooling_aux;district;;;;EUIc_el_aux;3;Heizen Hilfsstrom;kWh/m²NGFa
;electricity_end_use;dhw_demand;;;;;EUIdhw_el;3;Warmwasser;kWh/m²NGFa
;electricity_end_use;vent_el_demand;;;;;EUIv_el;3;Lüftung;kWh/m²NGFa
;electricity_end_use;dhw_demand;;;;;EUIdhwdirect_el;3;"WW
E-Stab";kWh/m²NGFa
;electricity_end_use;battery_charge;;;;;Batt_total_charge_input;3;e-Speicher Beladung;kWh/m²NGFa
;electricity_end_use;ev_local_charge;;;;;EUIev_el;3;EV Quartiersladung;kWh/m²NGFa
O;electricity_end_use;total;;;;;EUI_el_total;3;Quartier;kWh/m²NGFa
🌞;electricity_dispatch;PV_use;;static;;;PV_total;3;PV Ertrag;kWh/m²NGFa
🌞;electricity_dispatch;PV_use;;static;energy_use;user_electricity;PV_to_plugloads;3;3 static;kWh/m²NGFa
🌞;electricity_dispatch;PV_use;;static;energy_use;heating_demand;PV_to_Eh_min;3;3 static;kWh/m²NGFa
🌞;electricity_dispatch;PV_use;;static;energy_use;cooling_demand;PV_to_Ec_min;3;3 static;kWh/m²NGFa
