var_name;Domain;Measure;Unit;Formula
EVd_retail;E-Mobilität;EV Anzahl Vor Ort;;=EV_count_retail*mob[@[p_retail_d]]
EV_SOC0_d_res;E-Mobilität;EV State-of-Charge;%;0.5
EV_SOC0_d_work;E-Mobilität;EV State-of-Charge;%;0.5
EV_SOC0_d_retail;E-Mobilität;EV State-of-Charge;%;0.5
EV_SOC0_a_res;E-Mobilität;EV State-of-Charge;;0.5
EV_SOC0_a_work;E-Mobilität;EV State-of-Charge;;0.5
EV_SOC0_a_retail;E-Mobilität;EV State-of-Charge;;0.5
EV_maxpower;E-Mobilität;;Wh/m²;=MIN(SUM(sim[@[EVd_res]:[EVd_retail]]),EV_charging_stations)*EV_charging_station_power*1000*per_NFA
Eev_Cmin_res;E-Mobilität;Beladung Minimum;Wh/m²;=MIN(MIN([@[EVd_res]],EV_charging_stations)*EV_charging_station_power,[@[EVd_res]]*EV_battsize_kWh*MIN(EV_max_charging_power_ratio,MAX(EV_soc_minimum-[@[EV_SOC0_d_res]],0))*1000*per_NFA)
Eev_Cmin_work;E-Mobilität;Beladung Minimum;Wh/m²;=MIN([@[EV_maxpower]]-[@[Eev_Cmin_res]],[@[EVd_work]]*EV_battsize_kWh*MIN(EV_max_charging_power_ratio,MAX(EV_soc_min_work-[@[EV_SOC0_d_work]],0))*1000*per_NFA)
Eev_Cmin_retail;E-Mobilität;Beladung Minimum;Wh/m²;=MIN([@[EV_maxpower]]-[@[Eev_Cmin_res]]-[@[Eev_Cmin_work]],[@[EVd_retail]]*EV_battsize_kWh*MIN(EV_max_charging_power_ratio,MAX(EV_soc_min_retail-[@[EV_SOC0_d_retail]],0))*1000*per_NFA)
Eev_Cmin;E-Mobilität;Beladung Minimum;Wh/m²;=SUM(sim[@[Eev_Cmin_res]:[Eev_Cmin_retail]])
Eev_Cflex_pot_res;E-Mobilität;Beladung Maximum;Wh/m²;=MIN([@[EV_maxpower]]-[@[Eev_Cmin]],[@[EVd_res]]*EV_battsize_kWh*MAX(MIN(1-[@[EV_SOC0_d_res]],EV_max_charging_power_ratio-MAX(EV_soc_minimum-[@[EV_SOC0_d_res]],0)),0)*1000*per_NFA)
Eev_Cflex_pot_work;E-Mobilität;Beladung Maximum;Wh/m²;=MIN([@[EV_maxpower]]-[@[Eev_Cmin]]-[@[Eev_Cflex_pot_res]],[@[EVd_work]]*EV_battsize_kWh*MAX(MIN(1-[@[EV_SOC0_d_work]],EV_max_charging_power_ratio-MAX(EV_soc_min_work-[@[EV_SOC0_d_work]],0)),0)*1000*per_NFA)
Eev_Cflex_pot_retail;E-Mobilität;Beladung Maximum;Wh/m²;=MIN([@[EV_maxpower]]-[@[Eev_Cmin]]-[@[Eev_Cflex_pot_res]]-[@[Eev_Cflex_pot_work]],[@[EVd_retail]]*EV_battsize_kWh*MAX(MIN(1-[@[EV_SOC0_d_retail]],EV_max_charging_power_ratio-MAX(EV_soc_min_retail-[@[EV_SOC0_d_retail]],0)),0)*1000*per_NFA)
Eev_Cflex_pot;E-Mobilität;Beladung Maximum;Wh/m²;=SUM(sim[@[Eev_Cflex_pot_res]:[Eev_Cflex_pot_retail]])
Eev_Dflex_pot_res;E-Mobilität;Entladung Maximum;Wh/m²;=ev_bidirectional_use*[@[EVd_res]]*EV_battsize_kWh*MIN(MAX([@[EV_SOC0_d_res]]-EV_soc_min_discharge,0),EV_max_charging_power_ratio)*1000*per_NFA
Eev_Dflex_pot_work;E-Mobilität;Entladung Maximum;Wh/m²;=FALSE*[@[EVd_work]]*EV_battsize_kWh*MIN(MAX([@[EV_SOC0_d_work]]-EV_soc_min_discharge,0),EV_max_charging_power_ratio)*1000*per_NFA
